lugares_id:int,lugares_name:str
172,Spear Pillar
173,Pal Park
174,Amity Square
175,Floaroma Meadow
177,Fullmoon Island
178,Sendoff Spring
179,Flower Paradise
180,Maniac Tunnel
181,Galactic HQ
182,Verity Lakefront
183,Newmoon Island
184,Battle Tower
185,Fight Area
186,Survival Area
187,Seabreak Path
188,Hall of Origin
189,Hall of Origin
190,Verity Cavern
191,Valor Cavern
192,Acuity Cavern
193,Jubilife TV
194,Pokétch Co.
195,GTS
196,Trainers’ School
197,Mining Museum
198,Flower Shop
199,Cycle Shop
200,Contest Hall
201,Poffin House
202,Foreign Building
203,Pokémon Day Care
204,Veilstone Store
205,Game Corner
206,Canalave Library
207,Vista Lighthouse
208,Sunyshore Market
209,Footstep House
210,Café
211,Grand Lake
212,Restaurant
213,Battle Park
214,Battle Frontier
215,Battle Factory
216,Battle Castle
217,Battle Arcade
218,Battle Hall
219,Distortion World
220,Global Terminal
221,Villa
222,Battleground
223,ROTOM's Room
224,T.G. Eterna Bldg
225,Iron Ruins
226,Iceberg Ruins
227,Rock Peak Ruins
228,Azalea Town
229,Goldenrod City
230,Mahogany Town
231,Pewter City
232,Lavender Town
233,Indigo Plateau
234,Saffron City
236,Lighthouse
237,Team Rocket HQ
238,Goldenrod Tunnel
239,Mt. Silver Cave
241,Pokéathlon Dome
242,S.S. Aqua
243,Safari Zone Gate
244,Cliff Cave
245,Frontier Access
246,Bellchime Trail
247,Sinjoh Ruins
248,Embedded Tower
249,Pokéwalker
250,Cliff Edge Gate
252,Radio Tower
253,Day-Care Couple
254,Link trade (arrive)
255,Link trade (met)
256,Kanto
257,Johto
258,Hoenn
259,Sinnoh
260,Distant land
261,Traveling Man
262,Riley
263,Cynthia
264,Mystery Zone
265,Lovely place
266,Pokémon Ranger
267,Faraway place
268,Pokémon Movie
269,Pokémon Movie 06
270,Pokémon Movie 07
271,Pokémon Movie 08
272,Pokémon Movie 09
273,Pokémon Movie 10
274,Pokémon Movie 11
275,Pokémon Movie 12
276,Pokémon Movie 13
277,Pokémon Movie 14
278,Pokémon Movie 15
279,Pokémon Movie 16
280,Pokémon Cartoon
281,Space World
282,Space World 06
283,Space World 07
284,Space World 08
285,Space World 09
286,Space World 10
287,Space World 11
288,Space World 12
289,Space World 13
290,Space World 14
291,Space World 15
292,Space World 16
293,Pokémon Festa
294,Pokémon Festa 06
295,Pokémon Festa 07
296,Pokémon Festa 08
297,Pokémon Festa 09
298,Pokémon Festa 10
299,Pokémon Festa 11
300,Pokémon Festa 12
301,Pokémon Festa 13
302,Pokémon Festa 14
303,Pokémon Festa 15
304,Pokémon Festa 16
305,POKéPARK
306,POKéPARK 06
307,POKéPARK 07
308,POKéPARK 08
309,POKéPARK 09
310,POKéPARK 10
311,POKéPARK 11
312,POKéPARK 12
313,POKéPARK 13
314,POKéPARK 14
315,POKéPARK 15
316,POKéPARK 16
317,Pokémon Center
318,PC Tokyo
319,PC Osaka
320,PC Fukuoka
321,PC Nagoya
322,PC Sapporo
323,PC Yokohama
324,Nintendo World
325,Pokémon Event
326,Pokémon Event 06
327,Pokémon Event 07
328,Pokémon Event 08
329,Pokémon Event 09
330,Pokémon Event 10
331,Pokémon Event 11
332,Pokémon Event 12
333,Pokémon Event 13
334,Pokémon Event 14
335,Pokémon Event 15
336,Pokémon Event 16
337,Wi-Fi Event
338,Wi-Fi Gift
339,Pokémon Fan Club
340,Event Site
341,Concert Event
342,Mr. Pokémon
343,Primo
344,Mystery Zone
345,Faraway place
346,Nuvema Town
347,Accumula Town
348,Striaton City
349,Nacrene City
350,Castelia City
351,Nimbasa City
352,Driftveil City
353,Mistralton City
354,Icirrus City
355,Opelucid City
356,Route 1
357,Route 2
358,Route 3
359,Route 4
360,Route 5
361,Route 6
362,Route 7
363,Route 8
364,Route 9
365,Route 10
366,Route 11
367,Route 12
368,Route 13
369,Route 14
370,Route 15
371,Route 16
372,Route 17
373,Route 18
374,Dreamyard
375,Pinwheel Forest
376,Desert Resort
377,Relic Castle
378,Cold Storage
379,Chargestone Cave
380,Twist Mountain
381,Dragonspiral Tower
382,Victory Road
383,Lacunosa Town
384,Undella Town
385,Anville Town
386,Pokémon League
387,N's Castle
388,Royal Unova
389,Gear Station
390,Battle Subway
391,Musical Theater
392,Black City
393,White Forest
394,Unity Tower
395,Wellspring Cave
396,Mistralton Cave
397,Rumination Field
398,Celestial Tower
399,Moor of Icirrus
400,Shopping Mall
401,Challenger's Cave
402,Poké Transfer Lab
403,Giant Chasm
404,Liberty Garden
405,P2 Laboratory
406,Skyarrow Bridge
407,Driftveil Drawbridge
408,Tubeline Bridge
409,Village Bridge
410,Marvelous Bridge
411,Entralink
412,Abundant Shrine
413,Undella Bay
414,Lostlorn Forest
415,Trial Chamber
416,Guidance Chamber
417,Entree Forest
418,Accumula Gate
419,Undella Gate
420,Nacrene Gate
421,Castelia Gate
422,Nimbasa Gate
423,Opelucid Gate
424,Black Gate
425,White Gate
426,Bridge Gate
427,Route Gate
428,Abyssal Ruins
429,Petalburg City
430,Slateport City
431,Lilycove City
432,Mossdeep City
433,Sootopolis City
434,Ever Grande City
435,Meteor Falls
436,Rusturf Tunnel
437,Granite Cave
438,Petalburg Woods
439,Jagged Pass
440,Fiery Path
441,Mt. Pyre
442,Seafloor Cavern
443,Cave of Origin
444,Victory Road
445,Shoal Cave
446,New Mauville
447,Abandoned Ship
448,Sky Pillar
449,Route 101
450,Route 102
451,Route 103
452,Route 104
453,Route 105
454,Route 106
455,Route 107
456,Route 108
457,Route 109
458,Route 110
459,Route 111
460,Route 112
461,Route 113
462,Route 114
463,Route 115
464,Route 116
465,Route 117
466,Route 118
467,Route 119
468,Route 120
469,Route 121
470,Route 122
471,Route 123
472,Route 124
473,Route 125
474,Route 126
475,Route 127
476,Route 128
477,Route 129
478,Route 130
479,Route 131
480,Route 132
481,Route 133
482,Route 134
483,Safari Zone
484,Dewford Town
485,Pacifidlog Town
486,Magma Hideout
487,Mirage Tower
488,Desert Underpass
489,Artisan Cave
490,Altering Cave
491,Monean Chamber
492,Liptoo Chamber
493,Weepth Chamber
494,Dilford Chamber
495,Scufib Chamber
496,Rixy Chamber
497,Viapos Chamber
498,S.S. Anne
499,Victory Road
500,Mt. Ember
501,Berry Forest
502,Icefall Cave
503,Pattern Bush
504,Lost Cave
505,Kindle Road
506,Treasure Beach
507,Cape Brink
508,Bond Bridge
509,Three Isle Port
510,Resort Gorgeous
511,Water Labyrinth
512,Five Isle Meadow
513,Memorial Pillar
514,Outcast Island
515,Green Path
516,Water Path
517,Ruin Valley
518,Trainer Tower
519,Canyon Entrance
520,Sevault Canyon
521,Tanoby Ruins
522,Route 19
523,Route 20
524,Route 21
526,One Island
527,Four Island
528,Five Island
529,Altering Cave
530,Victory Road
531,Aspertia City
532,Virbank City
533,Humilau City
534,PokéStar Studios
535,Join Avenue
536,Floccesy Town
537,Lentimas Town
538,Route 19
539,Route 20
540,Route 21
541,Route 22
542,Route 23
543,Castelia Sewers
544,Floccesy Ranch
545,Virbank Complex
546,Reversal Mountain
547,Strange House
548,Victory Road
549,Plasma Frigate
550,Relic Passage
551,Clay Tunnel
552,White Treehollow
553,Black Tower
554,Seaside Cave
555,Cave of Being
556,Hidden Grotto
557,Marine Tube
558,Virbank Gate
559,Aspertia Gate
560,Nature Sanctuary
561,Medal Secretariat
562,Underground Ruins
563,Rocky Mountain Room
564,Glacier Room
565,Iron Room
566,Pledge Grove
567,Littleroot Town
568,Oldale Town
569,Lavaridge Town
570,Fallarbor Town
571,Verdanturf Town
572,Mauville City
573,Rustboro City
574,Fortree City
575,Underwater
576,Mt. Chimney
577,Mirage Island
578,Southern Island
579,Sealed Chamber
580,Scorched Slab
581,Island Cave
582,Desert Ruins
583,Ancient Tomb
584,Inside of truck
585,Secret Base
586,Battle Tower
587,Vaniville Town
588,Route 1
589,Vaniville Pathway
590,Aquacorde Town
591,Route 2
592,Avance Trail
593,Santalune Forest
594,Route 3
595,Ouvert Way
596,Santalune City
597,Route 4
598,Parterre Way
599,Lumiose City
600,Prism Tower
601,Lysandre Labs
602,Route 5
603,Versant Road
604,Camphrier Town
605,Shabboneau Castle
606,Route 6
607,Palais Lane
608,Parfum Palace
609,Route 7
610,Rivière Walk
611,Cyllage City
612,Route 8
613,Muraille Coast
614,Ambrette Town
615,Route 9
616,Spikes Passage
617,Battle Chateau
618,Route 10
619,Menhir Trail
620,Geosenge Town
621,Route 11
622,Miroir Way
623,Reflection Cave
624,Shalour City
625,Tower of Mastery
626,Route 12
627,Fourrage Road
628,Coumarine City
629,Route 13
630,Lumiose Badlands
631,Route 14
632,Laverre Nature Trail
633,Laverre City
634,Poké Ball Factory
635,Route 15
636,Brun Way
637,Dendemille Town
638,Route 16
639,Mélancolie Path
640,Frost Cavern
641,Route 17
642,Mamoswine Road
643,Anistar City
644,Route 18
645,Vallée Étroite Way
646,Couriway Town
647,Route 19
648,Grande Vallée Way
649,Snowbelle City
650,Route 20
651,Winding Woods
652,Pokémon Village
653,Route 21
654,Dernière Way
655,Route 22
656,Détourner Way
657,Victory Road
658,Pokémon League
659,Kiloude City
660,Battle Maison
661,Azure Bay
662,Dendemille Gate
663,Couriway Gate
664,Ambrette Gate
665,Lumiose Gate
666,Shalour Gate
667,Coumarine Gate
668,Laverre Gate
669,Anistar Gate
670,Snowbelle Gate
671,Glittering Cave
672,Connecting Cave
673,Zubat Roost
674,Kalos Power Plant
675,Team Flare Secret HQ
676,Terminus Cave
677,Lost Hotel
678,Chamber of Emptiness
679,Sea Spirit’s Den
680,Friend Safari
681,Blazing Chamber
682,Flood Chamber
683,Ironworks Chamber
684,Dragonmark Chamber
685,Radiant Chamber
686,Pokémon League Gate
687,Lumiose Station
688,Kiloude Station
689,Ambrette Aquarium
690,Unknown Dungeon
